/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170742.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170744.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170762.sra.uniq.bam
ChrSy.fgenesh.gene.10.MSUR7	0	0	0
ChrSy.fgenesh.gene.11.MSUR7	0	0	0
ChrSy.fgenesh.gene.12.MSUR7	0	0	0
ChrSy.fgenesh.gene.13.MSUR7	0	0	0
ChrSy.fgenesh.gene.14.MSUR7	0	0	0
ChrSy.fgenesh.gene.15.MSUR7	0	0	0
ChrSy.fgenesh.gene.16.MSUR7	0	0	0
ChrSy.fgenesh.gene.17.MSUR7	0	0	15
ChrSy.fgenesh.gene.18.MSUR7	0	2	4
ChrSy.fgenesh.gene.19.MSUR7	0	0	0
ChrSy.fgenesh.gene.1.MSUR7	0	0	0
ChrSy.fgenesh.gene.20.MSUR7	0	0	0
ChrSy.fgenesh.gene.21.MSUR7	4	18	16
ChrSy.fgenesh.gene.22.MSUR7	0	0	0
ChrSy.fgenesh.gene.23.MSUR7	0	0	0
ChrSy.fgenesh.gene.24.MSUR7	0	0	0
ChrSy.fgenesh.gene.25.MSUR7	77	111	247
ChrSy.fgenesh.gene.26.MSUR7	4	0	0
ChrSy.fgenesh.gene.27.MSUR7	0	0	0
ChrSy.fgenesh.gene.28.MSUR7	42	8	13
ChrSy.fgenesh.gene.29.MSUR7	29	48	225
ChrSy.fgenesh.gene.2.MSUR7	0	0	0
ChrSy.fgenesh.gene.30.MSUR7	2	2	6
ChrSy.fgenesh.gene.31.MSUR7	0	0	0
ChrSy.fgenesh.gene.32.MSUR7	55	22	29
ChrSy.fgenesh.gene.33.MSUR7	0	0	0
ChrSy.fgenesh.gene.34.MSUR7	0	0	0
ChrSy.fgenesh.gene.35.MSUR7	0	0	0
ChrSy.fgenesh.gene.36.MSUR7	0	0	0
ChrSy.fgenesh.gene.37.MSUR7	741	778	5816
ChrSy.fgenesh.gene.38.MSUR7	0	0	0
ChrSy.fgenesh.gene.39.MSUR7	0	0	0
ChrSy.fgenesh.gene.3.MSUR7	0	0	0
ChrSy.fgenesh.gene.40.MSUR7	0	0	0
ChrSy.fgenesh.gene.41.MSUR7	0	0	0
ChrSy.fgenesh.gene.42.MSUR7	0	2	20
ChrSy.fgenesh.gene.43.MSUR7	0	0	0
ChrSy.fgenesh.gene.44.MSUR7	0	0	0
ChrSy.fgenesh.gene.45.MSUR7	0	0	0
ChrSy.fgenesh.gene.46.MSUR7	0	0	0
ChrSy.fgenesh.gene.47.MSUR7	25	18	60
ChrSy.fgenesh.gene.48.MSUR7	2	0	0
ChrSy.fgenesh.gene.49.MSUR7	959	840	6033
ChrSy.fgenesh.gene.4.MSUR7	0	0	0
ChrSy.fgenesh.gene.50.MSUR7	138	117	474
ChrSy.fgenesh.gene.51.MSUR7	0	0	0
ChrSy.fgenesh.gene.52.MSUR7	9	4	3
ChrSy.fgenesh.gene.53.MSUR7	0	0	0
