/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174772.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174773.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174777.sra.uniq.bam
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
86	54	0
0	6	0
0	0	0
4	0	0
0	0	0
4	43	0
0	0	0
0	0	0
0	0	0
1	6	0
0	2	0
1	2	0
24	8	0
380	357	4
2	0	0
0	0	0
1	2	0
440	79	0
0	1	0
0	0	0
1	0	0
0	0	0
8267	6145	177
2	0	0
0	0	0
0	0	0
0	1	0
18	43	1
2	8	8
0	0	0
0	0	6
0	0	0
11	0	0
293	241	47
6	0	0
5146	6182	137
0	0	0
957	596	8
0	0	2
7	3	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
48	5	0
0	22	0
11	88	0
0	0	0
0	1	0
0	0	0
0	0	0
4075	5705	54
129	216	6
7	10	0
2	2	0
0	0	0
6	1	0
80	82	2
0	0	2
2	0	0
38	12	0
2	0	0
0	0	0
3	1	0
25	8	0
6	0	0
7	1	0
0	0	0
2	5	0
0	0	0
1	4	0
0	2	0
18	0	0
0	0	0
0	0	0
4	0	0
0	2	0
0	0	0
0	0	20
0	0	0
330	158	4
738	530	8
0	2	0
0	0	0
0	0	0
0	0	0
0	0	0
16	38	6
49	0	0
0	0	0
0	508	0
0	2	0
0	0	0
0	0	0
0	0	0
136	235	0
1	3	0
0	0	0
4	1	0
0	0	0
74	247	4
0	2	0
0	0	0
0	0	0
0	2	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
2	2	0
0	2	0
0	7	0
0	0	0
4	0	0
2	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	0	0
4	2	0
0	0	0
1	0	0
0	0	0
0	0	0
3	1	0
6	10	0
