/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179197.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179198.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179199.sra.uniq.bam
0	0	0
0	0	0
0	2	0
0	0	0
2	0	0
0	0	0
2	0	0
0	0	0
0	0	0
0	0	0
0	2	0
0	0	0
0	2	0
0	0	0
0	0	0
0	0	0
2	0	0
0	0	0
0	0	0
284	28	1
464	489	28
0	0	0
9	5	1
0	0	0
2	529	0
0	0	0
0	0	0
0	0	0
0	0	0
1808	3537	1460
0	1	0
0	0	0
0	0	0
0	1	0
0	0	0
2	24	8
0	0	0
6	5	0
0	0	0
0	0	0
54	27	9
0	1	0
13139	13464	1861
0	1	0
1	7	0
0	0	0
4	11	0
12	5	0
70	42	4
0	2	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
10	19	2
2	14	0
0	2	0
0	1	1
0	5	0
0	1	0
507	1205	88
6	14	1
0	8	0
0	0	0
0	0	0
0	4	0
22	22	6
0	3	0
0	0	2
501	82	2
145	18	0
6	20	1
2	0	0
298	64	2
2	1	0
0	0	0
0	0	0
0	0	0
0	1	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
2	0	0
0	0	0
74	0	0
0	0	0
0	0	0
780	2693	93
10	5	0
27568	5037	397
1624	1938	275
36	26	0
0	0	0
4	16	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	12	0
0	4	1
0	0	0
0	2	0
0	16	0
0	0	0
0	5	0
0	3	0
0	0	0
0	0	0
0	0	0
0	0	0
0	6	0
0	0	0
0	1	0
0	1	0
1	1	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2216	620	252
0	0	0
177	0	10
0	0	0
4	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3	1	1
13	3	1
0	0	0
0	0	0
0	0	0
0	0	0
1	0	3
106	154	8
