/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171629.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171630.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171631.sra.uniq.bam
0	0	0
0	0	0
2	0	0
4	0	0
4	0	0
0	0	0
0	0	0
54	51	55
3	0	4
4	0	2
0	0	0
0	0	0
6	14	79
0	0	0
0	0	0
0	0	0
83	507	424
41	419	361
1	0	0
156	22	38
278	1017	665
0	0	0
4	9	7
0	0	0
717	125	244
0	0	0
1	0	1
0	0	0
1	0	0
2859	9046	4155
0	0	0
2	0	0
0	0	1
6	4	0
4	23	39
45	1234	372
0	0	0
7	55	30
0	0	0
0	0	0
2	75	0
0	1	0
3268	6026	7404
0	0	1
626	678	558
0	0	0
2	3	0
0	0	0
0	1	0
2	0	4
0	0	0
32	7	14
0	2	0
33	15	10
0	2	0
25	25	8
1	0	1
0	0	0
0	0	0
8	1	0
5	2	0
0	0	0
0	1	4
0	0	4
2	2	25
2	0	16
0	0	0
0	2	4
0	0	1
1	7	0
1985	3091	3249
4	2	24
8	6	3
2	0	3
4	2	0
0	0	0
6	16	8
0	0	0
0	0	0
186	8	25
4	0	0
1	23	3
0	0	20
46	4	17
0	1	0
0	0	0
0	0	0
0	1	0
0	0	0
0	0	0
2	0	0
12	6	6
1	0	0
0	0	0
0	2	0
2	0	0
0	0	0
0	0	0
0	0	0
36	8	105
793	1540	1108
8	13	10
6	0	0
0	0	0
21	20	93
6	9	4
0	8	2
0	0	0
0	0	0
0	0	0
0	0	2
0	0	0
0	0	0
0	0	0
426	9	493
38	44	328
0	0	78
0	0	0
0	0	0
0	2	6
0	0	0
0	0	0
0	0	0
0	0	526
0	0	0
1	1	0
0	0	0
8	19	179
28	12	8
1	0	0
0	0	0
4	0	1
0	0	0
1	0	0
4	2	8
4	1	5
4	4	2
0	0	0
4	0	2
0	10	0
358	5476	93
24	88	962
327	201	61
0	2	0
18	37	12
0	0	0
4	0	1502
19	3	39
0	0	3
0	0	0
0	0	0
0	0	0
1	15	0
2	4	3
0	0	5
0	2	0
0	0	0
0	0	0
2	20	0
5	3	10
