SRR1170742,SRR1170744,SRR1170762,SRR1174772,SRR1174773,SRR1174777,SRR1179197,SRR1179198,SRR1179199,SRR1171629,SRR1171630,SRR1171631
ChrSy.fgenesh.gene.10.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.11.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.12.MSUR7,0,0,0,0,0,0,0,2,0,2,0,0
ChrSy.fgenesh.gene.13.MSUR7,0,0,0,0,0,0,0,0,0,4,0,0
ChrSy.fgenesh.gene.14.MSUR7,0,0,0,0,0,0,2,0,0,4,0,0
ChrSy.fgenesh.gene.15.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.16.MSUR7,0,0,0,0,0,0,2,0,0,0,0,0
ChrSy.fgenesh.gene.17.MSUR7,0,0,15,86,54,0,0,0,0,54,51,55
ChrSy.fgenesh.gene.18.MSUR7,0,2,4,0,6,0,0,0,0,3,0,4
ChrSy.fgenesh.gene.19.MSUR7,0,0,0,0,0,0,0,0,0,4,0,2
ChrSy.fgenesh.gene.1.MSUR7,0,0,0,4,0,0,0,2,0,0,0,0
ChrSy.fgenesh.gene.20.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.21.MSUR7,4,18,16,4,43,0,0,2,0,6,14,79
ChrSy.fgenesh.gene.22.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.23.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.24.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.25.MSUR7,77,111,247,1,6,0,2,0,0,83,507,424
ChrSy.fgenesh.gene.26.MSUR7,4,0,0,0,2,0,0,0,0,41,419,361
ChrSy.fgenesh.gene.27.MSUR7,0,0,0,1,2,0,0,0,0,1,0,0
ChrSy.fgenesh.gene.28.MSUR7,42,8,13,24,8,0,284,28,1,156,22,38
ChrSy.fgenesh.gene.29.MSUR7,29,48,225,380,357,4,464,489,28,278,1017,665
ChrSy.fgenesh.gene.2.MSUR7,0,0,0,2,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.30.MSUR7,2,2,6,0,0,0,9,5,1,4,9,7
ChrSy.fgenesh.gene.31.MSUR7,0,0,0,1,2,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.32.MSUR7,55,22,29,440,79,0,2,529,0,717,125,244
ChrSy.fgenesh.gene.33.MSUR7,0,0,0,0,1,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.34.MSUR7,0,0,0,0,0,0,0,0,0,1,0,1
ChrSy.fgenesh.gene.35.MSUR7,0,0,0,1,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.36.MSUR7,0,0,0,0,0,0,0,0,0,1,0,0
ChrSy.fgenesh.gene.37.MSUR7,741,778,5816,8267,6145,177,1808,3537,1460,2859,9046,4155
ChrSy.fgenesh.gene.38.MSUR7,0,0,0,2,0,0,0,1,0,0,0,0
ChrSy.fgenesh.gene.39.MSUR7,0,0,0,0,0,0,0,0,0,2,0,0
ChrSy.fgenesh.gene.3.MSUR7,0,0,0,0,0,0,0,0,0,0,0,1
ChrSy.fgenesh.gene.40.MSUR7,0,0,0,0,1,0,0,1,0,6,4,0
ChrSy.fgenesh.gene.41.MSUR7,0,0,0,18,43,1,0,0,0,4,23,39
ChrSy.fgenesh.gene.42.MSUR7,0,2,20,2,8,8,2,24,8,45,1234,372
ChrSy.fgenesh.gene.43.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.44.MSUR7,0,0,0,0,0,6,6,5,0,7,55,30
ChrSy.fgenesh.gene.45.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.46.MSUR7,0,0,0,11,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.47.MSUR7,25,18,60,293,241,47,54,27,9,2,75,0
ChrSy.fgenesh.gene.48.MSUR7,2,0,0,6,0,0,0,1,0,0,1,0
ChrSy.fgenesh.gene.49.MSUR7,959,840,6033,5146,6182,137,13139,13464,1861,3268,6026,7404
ChrSy.fgenesh.gene.4.MSUR7,0,0,0,0,0,0,0,1,0,0,0,1
ChrSy.fgenesh.gene.50.MSUR7,138,117,474,957,596,8,1,7,0,626,678,558
ChrSy.fgenesh.gene.51.MSUR7,0,0,0,0,0,2,0,0,0,0,0,0
ChrSy.fgenesh.gene.52.MSUR7,9,4,3,7,3,1,4,11,0,2,3,0
ChrSy.fgenesh.gene.53.MSUR7,0,0,0,0,0,0,12,5,0,0,0,0
ChrSy.fgenesh.gene.54.MSUR7,0,0,0,0,0,0,70,42,4,0,1,0
ChrSy.fgenesh.gene.55.MSUR7,0,0,0,0,0,0,0,2,0,2,0,4
ChrSy.fgenesh.gene.56.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.57.MSUR7,0,0,0,0,0,0,0,0,0,32,7,14
ChrSy.fgenesh.gene.58.MSUR7,0,0,0,0,0,0,0,0,0,0,2,0
ChrSy.fgenesh.gene.59.MSUR7,0,0,0,0,0,0,0,0,0,33,15,10
ChrSy.fgenesh.gene.5.MSUR7,0,0,0,0,0,0,0,0,0,0,2,0
ChrSy.fgenesh.gene.60.MSUR7,0,0,0,0,0,0,0,0,0,25,25,8
ChrSy.fgenesh.gene.61.MSUR7,0,0,1,0,2,0,0,0,0,1,0,1
ChrSy.fgenesh.gene.62.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.63.MSUR7,0,0,0,0,0,0,0,0,0,0,0,0
ChrSy.fgenesh.gene.64.MSUR7,0,0,0,0,0,0,0,0,0,8,1,0
