IDENTIFIER	log2FoldChange
chrsy.fgenesh.mrna.12|pacid:24144817	-5.09458608765336
chrsy.fgenesh.mrna.2|pacid:24144803	4.3555009878719
chrsy.fgenesh.mrna.4|pacid:24144757	-1.92206591866972
chrsy.fgenesh.mrna.42|pacid:24144793	-2.65103373535361
chrsy.fgenesh.mrna.52|pacid:24144747	-1.58995908833235
chrsy.fgenesh.mrna.53|pacid:24144746	-2.36337864417013
chrsy.fgenesh.mrna.55|pacid:24144768	-3.16222890538175
chrsy.fgenesh.mrna.63|pacid:24144754	-4.89548845681116
chrsy.fgenesh.mrna.64|pacid:24144815	-5.04372986389298
chrsy.fgenesh.mrna.72|pacid:24144750	-5.05926821790746
chrsy.fgenesh.mrna.75|pacid:24144798	6.75067741520318
chrsy.fgenesh.mrna.86|pacid:24144811	-5.27300675743469
chrun.fgenesh.mrna.18|pacid:24093292	4.99044395756776
chrun.fgenesh.mrna.21|pacid:24093297	-2.04237567963252
chrun.fgenesh.mrna.23|pacid:24093321	-4.69533900956552
chrun.fgenesh.mrna.24|pacid:24093318	-4.42373795335576
chrun.fgenesh.mrna.32|pacid:24093265	-3.43486221049285
chrun.fgenesh.mrna.57|pacid:24093340	-8.29241582190637
chrun.fgenesh.mrna.59|pacid:24093286	-5.93049281925838
chrun.fgenesh.mrna.75|pacid:24093264	-2.93449460589093
chrun.fgenesh.mrna.79|pacid:24093350	-4.01817759106473
chrun.fgenesh.mrna.95|pacid:24093333	-5.55004527090203
loc_os01g01570.1|pacid:24117351	-3.31489288227906
loc_os01g01600.1|pacid:24117929	-2.66772642539368
loc_os01g01689.1|pacid:24114335	-1.56137301176798
loc_os01g01925.1|pacid:24120290	5.51085817617347
loc_os01g02190.1|pacid:24118482	-3.44184046190487
loc_os01g02270.1|pacid:24118569	-6.42088070593616
loc_os01g02560.1|pacid:24119781	2.5394010654881
loc_os01g03260.1|pacid:24116705	-3.92872199763494
loc_os01g03410.1|pacid:24117893	-6.76453989569792
loc_os01g03620.1|pacid:24114564	2.93035232742688
loc_os01g04040.1|pacid:24114604	2.62865846975344
loc_os01g04210.1|pacid:24115620	-2.75806391505317
loc_os01g04250.1|pacid:24119914	2.10022344288246
loc_os01g04550.1|pacid:24117131	3.1465573178096
loc_os01g04860.1|pacid:24116823	1.66356771141226
loc_os01g05050.1|pacid:24121307	-4.03513569568909
loc_os01g05090.1|pacid:24119270	2.86592908167078
loc_os01g05250.1|pacid:24119346	-4.37873705153563
loc_os01g05380.1|pacid:24117968	2.90229972358162
loc_os01g05460.1|pacid:24120583	3.79638075765277
loc_os01g05530.1|pacid:24113653	-7.5689045937686
loc_os01g05585.1|pacid:24115385	-3.78934012177328
loc_os01g05620.1|pacid:24117037	-6.01695901893081
loc_os01g05760.1|pacid:24120823	4.53367971293915
loc_os01g07850.1|pacid:24117612	-4.87605676788267
loc_os01g08870.1|pacid:24118985	6.62401539021065
loc_os01g08880.1|pacid:24115436	7.27160584564636
loc_os01g09230.1|pacid:24120888	1.78988545659973
loc_os01g09370.1|pacid:24113831	2.77041996290846
loc_os01g10160.1|pacid:24117963	4.13429343043598
loc_os01g10450.2|pacid:24120294	-1.18236042437346
loc_os01g10520.1|pacid:24117299	-5.09562821938602
loc_os01g10770.1|pacid:24114586	-3.81457582614291
loc_os01g11780.1|pacid:24118501	-4.18693691563644
