fq1	fq2	tissue	oryza	glum
/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170742.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170742.sra_2.fastq	leaf	barthii	no
/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170744.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170744.sra_2.fastq	root	barthii	no
/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170762.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170762.sra_2.fastq	panicle	barthii	no
/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174772.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174772.sra_2.fastq	leaf	glumipatula	yes
/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174773.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174773.sra_2.fastq	panicle	glumipatula	yes
/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174777.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174777.sra_2.fastq	root	glumipatula	yes
/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179197.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179197.sra_2.fastq	leaf	minuta	no
/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179198.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179198.sra_2.fastq	panicle	minuta	no
/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179199.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179199.sra_2.fastq	root	minuta	no
/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171629.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171629.sra_2.fastq	leaf	nivara	no
/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171630.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171630.sra_2.fastq	root	nivara	no
/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171631.sra_1.fastq	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171631.sra_2.fastq	panicle	nivara	no
