target_id	length	eff_length	est_counts	tpm
ChrUn.fgenesh.mRNA.1	321	139.041	0	0
ChrUn.fgenesh.mRNA.10	2400	2218.04	0	0
ChrUn.fgenesh.mRNA.11	3456	3274.04	33.4249	0.0595317
ChrUn.fgenesh.mRNA.12	5379	5197.04	4.06083	0.00455638
ChrUn.fgenesh.mRNA.13	645	463.041	1	0.0125934
ChrUn.fgenesh.mRNA.14	447	265.041	45	0.990057
ChrUn.fgenesh.mRNA.15	5274	5092.04	0	0
ChrUn.fgenesh.mRNA.16	4095	3913.04	27.4865	0.0409606
ChrUn.fgenesh.mRNA.17	558	376.041	20	0.310139
ChrUn.fgenesh.mRNA.18	354	172.041	0	0
ChrUn.fgenesh.mRNA.19	1608	1426.04	21.7264	0.0888419
ChrUn.fgenesh.mRNA.2	1113	931.041	0	0
ChrUn.fgenesh.mRNA.20	1803	1621.04	1382	4.97136
ChrUn.fgenesh.mRNA.21	2181	1999.04	98.7631	0.288094
ChrUn.fgenesh.mRNA.22	540	358.041	6658	108.436
ChrUn.fgenesh.mRNA.23	2592	2410.04	1288	3.1164
ChrUn.fgenesh.mRNA.24	1062	880.041	104	0.689115
ChrUn.fgenesh.mRNA.25	441	259.041	0	0
ChrUn.fgenesh.mRNA.26	2763	2581.04	7.60923	0.0171912
ChrUn.fgenesh.mRNA.27	3765	3583.04	2	0.00325491
ChrUn.fgenesh.mRNA.28	1491	1309.04	3	0.0133638
ChrUn.fgenesh.mRNA.29	2769	2587.04	1	0.00225402
ChrUn.fgenesh.mRNA.3	1455	1273.04	0	0
ChrUn.fgenesh.mRNA.30	1323	1141.04	0	0
ChrUn.fgenesh.mRNA.31	5544	5362.04	828.671	0.901184
ChrUn.fgenesh.mRNA.32	1515	1333.04	649	2.83898
ChrUn.fgenesh.mRNA.33	438	256.041	0	0
ChrUn.fgenesh.mRNA.34	1080	898.041	6	0.0389598
ChrUn.fgenesh.mRNA.35	204	22.0414	28	7.40765
ChrUn.fgenesh.mRNA.36	2337	2155.04	0	0
ChrUn.fgenesh.mRNA.37	780	598.041	3	0.0292517
ChrUn.fgenesh.mRNA.38	291	109.041	9	0.481296
ChrUn.fgenesh.mRNA.39	405	223.041	0	0
ChrUn.fgenesh.mRNA.4	840	658.041	0	0
ChrUn.fgenesh.mRNA.40	303	121.041	0	0
ChrUn.fgenesh.mRNA.41	279	97.0414	0.5	0.0300452
ChrUn.fgenesh.mRNA.42	2199	2017.04	49	0.141659
ChrUn.fgenesh.mRNA.43	1209	1027.04	11	0.0624549
ChrUn.fgenesh.mRNA.44	390	208.041	0	0
ChrUn.fgenesh.mRNA.45	1392	1210.04	16.4608	0.0793253
ChrUn.fgenesh.mRNA.46	1497	1315.04	67.6889	0.300151
ChrUn.fgenesh.mRNA.47	1116	934.041	6	0.0374582
ChrUn.fgenesh.mRNA.48	888	706.041	18.0072	0.148723
ChrUn.fgenesh.mRNA.49	2007	1825.04	3	0.00958539
ChrUn.fgenesh.mRNA.5	1746	1564.04	51	0.190144
ChrUn.fgenesh.mRNA.50	183	1.0414	0	0
ChrUn.fgenesh.mRNA.51	5313	5131.04	5	0.00568232
ChrUn.fgenesh.mRNA.52	3678	3496.04	2	0.00333591
ChrUn.fgenesh.mRNA.53	936	754.041	0	0
ChrUn.fgenesh.mRNA.54	324	142.041	0	0
ChrUn.fgenesh.mRNA.55	3339	3157.04	0	0
ChrUn.fgenesh.mRNA.56	624	442.041	0	0
